NPRI ID,Company Name,Facility Name,City,Census Subdivision,Census Area or Census Metropolitan Area,Economic Region,Province,Postal Code,Terrestrial Ecozone,Watershed,NAICS 4 Code,NAICS 6 Code,Latitude,Longitude
0000002561,Roski Composites Inc,Roski Composites,Roxton Falls,Roxton Falls, ,Montérégie,QC,J0H 1E0,MixedWood Plain,St. Lawrence Drainage Area,3261,326198,45.5783,-72.525
0000002567,Carpenter Canada Co.,CARPENTER CANADA CO. - Woodbridge,Woodbridge,Vaughan,Toronto,Toronto,ON,L4L 3P6,MixedWood Plain,St. Lawrence Drainage Area,3261,326150,43.7719,-79.5505
0000002574,Magna Seating Inc.,CAM-SLIDE EAST,Newmarket,Newmarket,Toronto,Toronto,ON,L3Y 4X1,MixedWood Plain,St. Lawrence Drainage Area,3363,336360,44.0374,-79.448
0000002578,Magna Exteriors and Interiors Corp.,Rollstamp - 141 Staffern Dr.,Vaughan,Vaughan,Toronto,Toronto,ON,L4K 2R2,MixedWood Plain,St. Lawrence Drainage Area,3363,336390,43.8273,-79.4854
0000002582,Magna Seating Inc.,INTEGRAM WINDSOR SEATING,Tecumseh,Lakeshore,Windsor,Windsor--Sarnia,ON,N8N 2L9,MixedWood Plain,St. Lawrence Drainage Area,3363,336360,42.3005,-82.8207
0000002586,Western Cleanwood Preservers Ltd.,WESTERN CLEANWOOD PRESERVERS - SURREY,Surrey,Surrey,Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,BC,V3V 2R9,Pacific Maritime,Pacific Drainage Area,3211,321114,49.18041,-122.91235
0000002599,Alberta Distillers Ltd.,ALBERTA DISTILLERS,Calgary,Calgary,Calgary,Calgary,AB,T2H 1X1,Prairie,Nelson River Drainage Area,3121,312140,51.02277,-114.02766
0000002601,Domfoam inc.,DOMFOAM inc.,Montréal,Montréal,Montréal,Montréal,QC,H1P 2C9,MixedWood Plain,St. Lawrence Drainage Area,3261,326150,45.6008,-73.5943
0000002603,Saand Inc,Saand Toronto,Toronto,Toronto,Toronto,Toronto,ON,M9W 5S1,MixedWood Plain,St. Lawrence Drainage Area,3272,327215,43.7043,-79.5901
0000002604,Irving Pulp & Paper Ltd.,Irving Pulp & Paper,Saint John,Saint John,Saint John,Saint John--St. Stephen,NB,E2M 3H1,Atlantic Maritime,Maritime Provinces Drainage Area,3221,322112,45.262,-66.0924
0000002607,AV Terrace Bay Inc.,AV Terrace Bay,Terrace Bay,Terrace Bay, ,Northwest / Nord-ouest,ON,P0T 2W0,Boreal Shield,St. Lawrence Drainage Area,3221,322112,48.7965,-87.1039
0000002630,Johns Manville Canada Inc.,Innisfail Plant,Innisfail,Innisfail, ,Red Deer,AB,T4G 1A2,Prairie,Nelson River Drainage Area,3272,327214,52.03283,-113.939632
0000002638,City of Regina,Wastewater Facility,Regina,Regina,Regina,Regina--Moose Mountain,SK,S4M 0A1,Prairie,Nelson River Drainage Area,2213,221320,50.47,-104.744
0000002656,Ventra Group Co.,Ventra Plastics - Peterborough,Peterborough,Peterborough,Peterborough,Muskoka--Kawarthas,ON,K9J 6Z8,MixedWood Plain,St. Lawrence Drainage Area,3363,336390,44.2821,-78.29
0000002660,Columbian Chemicals Canada Ltd.,Hamilton (Birla Carbon),Hamilton,Hamilton,Hamilton,Hamilton--Niagara Peninsula,ON,L8H 7N5,MixedWood Plain,St. Lawrence Drainage Area,3251,325189,43.2588,-79.7843
0000002674,Chemtrade Logistics Inc.,Chemtrade - Prince George Acid,Prince George,Prince George,Prince George,Cariboo,BC,v2n 5s6,Montane Cordillera,Pacific Drainage Area,3251,325189,53.8432,-122.7325
0000002677,Magna International Inc.,P&F TOOL AND DIE - Citation,Concord,Vaughan,Toronto,Toronto,ON,L4K 2V2,MixedWood Plain,St. Lawrence Drainage Area,3363,336370,43.8259,-79.4837
0000002683,Magna Structural Systems Inc.,PRESSTRAN INDUSTRIES,St Thomas,St. Thomas,London,London,ON,N5P 4B4,MixedWood Plain,St. Lawrence Drainage Area,3363,336370,42.7875,-81.1625
0000002687,Magna International Inc.,DECO AUTOMOTIVE - REXDALE,Rexdale,Toronto,Toronto,Toronto,ON,M9W 6K9,MixedWood Plain,St. Lawrence Drainage Area,3363,336370,43.7464,-79.6257
