ORIS plant code,Name,Operator,County,State,Sulfur dioxide,Sulfur dioxide rank,Nitrogen oxides,Nitrogen oxides rank,Carbon dioxide,Carbon dioxide rank,Heat input,Gross load,Latitude,Longitude
2291,North Omaha Station,Omaha Public Power District,Douglas County,NE,7895.261,53,3625.496,92,2200552.814,182,21068150.15,2064316.05,41.3297,-95.9458
2324,Reid Gardner,NV Energy,Clark County,NV,167.637,279,389.376,273,382487.192,267,3646924.079,292771.71,36.6531,-114.6364
2364,Merrimack,Public Service of New Hampshire,Merrimack County,NH,143.588,283,406.115,269,281201.62,277,2740749.556,268427.61,43.1411,-71.4692
2367,Schiller,Public Service of New Hampshire,Rockingham County,NH,262.576,269,265.987,294,595146.602,247,5754050.257,394040.26,43.0978,-70.7842
2378,B L England,"R.C. Cape May Holdings, LLC",Cape May County,NJ,26.197,298,48.252,324,24977.439,298,243688.373,24037.75,39.29,-74.6339
2403,Hudson Generating Station,"PSEG Power, LLC",Hudson County,NJ,0.778,306,10.382,329,13818.902,299,246043.008,19902.32,40.7478,-74.0719
2408,Mercer Generating Station,"PSEG Power, LLC",Mercer County,NJ,0,0,0,0,0,0,0,0,40.1797,-74.7325
2442,Four Corners Steam Elec Station,Arizona Public Service Company,San Juan County,NM,3769.621,99,16291.537,1,6634608.166,76,64672513.48,7057661.57,36.69,-108.4814
2451,San Juan,Public Service Company of New Mexico,San Juan County,NM,4525.086,83,16180.799,2,13460701.44,16,128376773.6,11977788.84,36.8006,-108.4386
2527,Greenidge Generation LLC,Greenidge Generation LLC,Yates County,NY,0.822,305,338.812,280,164677.517,290,2778065.312,179575.06,42.6789,-76.9483
2535,"Cayuga Operating Company, LLC","Cayuga Operating Company, LLC",Tompkins County,NY,505.725,245,310.401,282,271309.862,279,2644312.593,258766.65,42.6028,-76.6336
2549,Huntley Power,"Huntley Power, LLC",Erie County,NY,0,0,0,0,0,0,0,0,42.97,-78.93
2554,NRG Dunkirk Power,"NRG Energy, Inc",Chautauqua County,NY,0,0,0,0,0,0,0,0,42.49,-79.35
2706,Asheville,"Duke Energy Progress, LLC",Buncombe County,NC,791.885,223,566.326,247,1383491.889,213,13488362.46,1385669.54,35.4714,-82.5431
2712,Roxboro,"Duke Energy Progress, LLC",Person County,NC,3413.601,104,5774.051,56,6404359.436,86,62476976.28,2779625.72,36.4833,-79.0731
2718,G G Allen,"Duke Energy Carolinas, LLC",Gaston County,NC,353.71,256,1611.323,160,1132204.621,226,11035177.85,1165646.48,35.1897,-81.0122
2721,Cliffside,"Duke Energy Carolinas, LLC",Cleveland County,NC,857.03,217,1641.301,157,5469391.057,100,53307911.43,6362835.55,35.22,-81.7594
2727,Marshall,"Duke Energy Carolinas, LLC",Catawba County,NC,4361.748,87,9546.338,18,9368795.011,35,91313824.79,9817000.64,35.5975,-80.9658
2790,R M Heskett,Montana Dakota Utilities Company,Morton County,ND,1485.297,175,985.253,215,570010.664,253,5235709.79,455535.46,46.8669,-100.8839
2817,Leland Olds,Basin Electric Power Cooperative,Mercer County,ND,1918.372,154,5538.971,62,4619341.719,117,42429879.5,4159274.99,47.2819,-101.3194
2823,Milton R Young,"Minnkota Power Cooperative, Inc.",Oliver County,ND,3412.365,105,9968.713,15,6541331.158,80,60083882.16,5870153.92,47.0664,-101.2139
2824,Stanton,Great River Energy,Mercer County,ND,422.658,253,301.086,284,202630.131,287,1932047.512,0,47.2872,-101.3314
2828,Cardinal,Cardinal Operating Company,Jefferson County,OH,11257.11,32,3884.111,84,10954557.85,27,106769626.2,11293314.77,40.2522,-80.6486
2832,Miami Fort Power Station,"Dynegy Miami Fort, LLC",Hamilton County,OH,10513.654,34,5943.614,51,6679013.59,74,65097647.01,7418542.5,39.1131,-84.8031
2836,Avon Lake Power Plant,NRG Power Midwest LP,Lorain County,OH,1929.806,153,922.755,223,553342.415,254,5393198.273,593999.84,41.5042,-82.05
2840,Conesville,"AEP Generation Resources, Inc.",Coshocton County,OH,4421.357,86,5426.915,63,4301243.857,126,41922461.98,4253569.78,40.1842,-81.8811
2850,J M Stuart,"AES Ohio Generation, LLC, Dayton Power and Light Company",Adams County,OH,6675.436,56,3512.43,95,7466658.947,66,72774530.04,7667089.9,38.6361,-83.6939
2866,W H Sammis,FirstEnergy Generation Corporation,Jefferson County,OH,3169.368,109,3882.696,85,7091560.615,69,67616043.19,6959116.98,40.5308,-80.6311
2876,Kyger Creek,Ohio Valley Electric Corporation,Gallia County,OH,4682.619,77,4238.897,77,6468438.215,82,63045230.5,6602909.14,38.9161,-82.1281
2878,Bay Shore,FirstEnergy Generation Corporation,Lucas County,OH,2309.252,142,501.884,255,1503378.737,207,14256765.72,0,41.6925,-83.4375
2917,Hamilton Municipal Power Plant,City of Hamilton,Butler County,OH,0,0,0,0,0,0,0,0,39.4099,-84.5544
2952,Muskogee,Oklahoma Gas & Electric Company,Muskogee County,OK,18502.756,16,7053.718,36,7745086.599,61,73969989.75,7027785.77,35.7617,-95.2847
2963,Northeastern,Public Service Company of Oklahoma,Rogers County,OK,3879.972,97,1454.536,179,2485670.336,174,23700139.12,2479552.09,36.4317,-95.7008
3118,Conemaugh,GenOn Northeast Management Company,Indiana County,PA,4619.673,80,5998.863,50,11699375.87,24,114121272.6,12083338.7,40.3842,-79.0611
3122,Homer City,NRG Homer City Services LLC,Indiana County,PA,5586.553,69,4904.239,70,5655449.768,96,55121340.33,5744722.92,40.511,-79.1968
3130,Seward,"Seward Generation, LLC",Indiana County,PA,7269.872,55,1450.118,180,2791996.363,167,27249584.36,0,40.4081,-79.0339
3136,Keystone,GenOn Northeast Management Company,Armstrong County,PA,23250.304,7,6095.059,48,12185477.38,21,118766848,12672885.36,40.6604,-79.3411
3140,"Brunner Island, LLC","Talen Generation, LLC",York County,PA,1550.917,170,2585.481,122,2695018.642,168,39173868.16,3996580.11,40.097,-76.6962
3149,"Montour, LLC","Talen Generation, LLC",Montour County,PA,5263.856,70,1922.936,144,2861658.739,165,27891422.12,3024847.96,41.0714,-76.6672
3297,Wateree,South Carolina Electric & Gas Company,Richland County,SC,1065.719,199,1832.473,149,3434554.196,145,33475220.47,3887480.9,33.8264,-80.6218
3298,Williams,South Carolina Generating Company,Berkeley County,SC,459.388,248,1796.905,151,2558176.539,170,24933474.53,2839902.25,33.0163,-79.9285
3393,Allen,Tennessee Valley Authority,Shelby County,TN,7635.958,54,1582.178,167,3974923.893,133,37899751.77,3859199.34,35.0742,-90.1439
3396,Bull Run,Tennessee Valley Authority,Anderson County,TN,563.136,237,1300.984,188,2993903.726,160,29180366.85,3115116.39,36.0211,-84.1567
3399,Cumberland,Tennessee Valley Authority,Stewart County,TN,6649.123,57,3378.59,98,10505930.07,32,102396962.7,10802963.77,36.3903,-87.6539
3403,Gallatin,Tennessee Valley Authority,Sumner County,TN,1111.01,196,5132.449,67,6037029.331,90,57561350.06,5651216.68,36.3156,-86.4006
3406,Johnsonville,Tennessee Valley Authority,Humphreys County,TN,6311.621,61,1764.156,153,2426690.369,175,23289692.73,1945223.15,36.0278,-87.9861
3407,Kingston,Tennessee Valley Authority,Roane County,TN,1998.67,149,1692.322,155,5714073.584,93,55080749.19,5187526.43,35.8992,-84.5194
3470,W A Parish,"NRG Energy, Inc",Fort Bend County,TX,37646.333,2,4854.371,74,15880968.51,7,163609930.6,16622837.79,29.4783,-95.6358
3497,Big Brown,Luminant Generation Company LLC,Freestone County,TX,47632.453,1,5798.412,54,9100920.667,40,83594372.79,8371042.8,31.8206,-96.0561
3797,Chesterfield Power Station,Dominion Generation,Chesterfield County,VA,1351.64,183,981.72,218,3633246.845,140,35411765.78,3555160.98,37.3822,-77.3833
3809,Yorktown Power Station,Dominion Generation,York County,VA,702.317,230,180.302,305,80729.209,294,786843.561,83695.52,37.2144,-76.4611
3845,Centralia,TransAlta,Lewis County,WA,1706.578,162,6225.861,47,6564103.847,77,62586797.25,5839287.54,46.7559,-122.8578
3935,John E Amos,Appalachian Power Company,Putnam County,WV,5717.18,67,6238.572,46,14715863.81,12,143429578.8,15044408.86,38.4731,-81.8233
3936,Kanawha River,Appalachian Power Company,Kanawha County,WV,0,0,0,0,0,0,0,0,38.2056,-81.4211
3943,Fort Martin Power Station,Monongahela Power Company,Monongalia County,WV,1540.236,171,9488.748,19,6216766.919,87,59275090.85,6807480.88,39.7107,-79.9275
3944,Harrison Power Station,Allegheny Energy,Harrison County,WV,7943.971,52,8056.843,28,13512102.52,15,131696916.8,14059759.17,39.3844,-80.3325
3948,Mitchell (WV),Kentucky Power Company,Marshall County,WV,3236.071,108,3485.097,97,8237215.243,53,80284773.82,8327451.49,39.8297,-80.8153
3954,Mount Storm Power Station,Dominion Generation,Grant County,WV,2748.388,124,2856.322,113,7504768.796,65,73145926.07,7506883.72,39.2014,-79.2667
3982,Bay Front,Northern States Power (Xcel Energy),Ashland County,WI,82.019,290,354.071,279,331754.67,270,3182307.22,186313.21,46.5869,-90.9017
4041,South Oak Creek,Wisconsin Electric Power Company,Milwaukee County,WI,104.841,287,1630.487,159,5679510.193,94,54169243.93,5174494.71,42.8457,-87.8294
4050,Edgewater (4050),Wisconsin Power & Light Company,Sheboygan County,WI,4510.488,84,1570.678,169,4404356.082,122,41994248.83,4061129.32,43.715,-87.7094
4072,Pulliam,Wisconsin Public Service Corporation,Brown County,WI,1062.361,200,629.018,240,580879.698,250,5634314.988,552598.91,44.5397,-88.0083
4078,Weston,Wisconsin Public Service Corporation,Marathon County,WI,614.58,234,1060.279,206,4225464.327,127,40343687.1,4739176.37,44.8606,-89.6553
4125,Manitowoc,Manitowoc Public Utilities,Manitowoc County,WI,320.345,261,70.763,321,269501.183,280,2572809.959,0,44.082,-87.6558
4143,Genoa,Dairyland Power Cooperative,Vernon County,WI,396.863,254,901.567,225,1664514.415,203,15870688.34,1594472.83,43.5592,-91.2333
4158,Dave Johnston,Pacificorp Energy Generation,Converse County,WY,8208.475,49,6356.56,44,5519776.555,99,52629442.63,4959379.33,42.8378,-105.7769
4162,Naughton,Pacificorp Energy Generation,Lincoln County,WY,4047.712,94,5567.796,60,5545754.597,98,52913060.13,5139129.71,41.7572,-110.5986
4259,"Michigan Hub, LLC",Michigan South Central Power Agency,Hillsdale County,MI,0,0,0,0,0,0,0,0,42.0317,-84.755
4271,J P Madgett,Dairyland Power Cooperative,Buffalo County,WI,771.594,224,692.063,236,1997069.781,189,19041451.29,1673137.12,44.3026,-91.9126
4941,Navajo Generating Station,Salt River Project,Coconino County,AZ,5015.157,73,14560.969,3,15893150.45,6,154904137.5,15118088.35,36.9047,-111.3886
6002,James H Miller Jr,Alabama Power Company,Jefferson County,AL,839.523,220,7214.595,32,22746314.98,1,216879467.3,20328160.75,33.6319,-87.0597
6004,Pleasants Power Station,Allegheny Energy,Pleasants County,WV,10821.213,33,5914.239,53,7978641.344,57,76074005.61,8561782.54,39.3668,-81.2944
